Date,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall
2021-04-14,Visakhapatnam,145,32.9,31.3,28.3,2.0,2.65,11.4,33.9,56.6,6.1,0.0
2021-04-15,Delhi,255,69.8,119.7,52.8,9.4,1.42,50.5,34.7,42.3,5.4,0.0
2021-04-15,Mumbai,87,16.3,42.0,12.0,5.6,0.68,53.8,36.3,40.1,4.4,8.0
2021-04-15,Bangalore,160,36.1,83.5,29.7,10.6,1.15,41.4,38.8,52.9,9.8,0.0
2021-04-15,Chennai,113,21.4,31.9,22.7,8.1,1.47,45.6,36.3,57.9,8.1,0.0
2021-04-15,Kolkata,125,21.1,45.9,34.0,9.0,1.67,17.7,33.2,36.4,8.5,0.0
2021-04-15,Jaipur,226,63.5,130.6,40.0,11.8,0.64,49.3,30.1,40.1,9.9,0.0
2021-04-15,Lucknow,263,85.2,157.5,20.4,2.0,1.56,27.6,33.2,63.5,7.5,0.0
2021-04-15,Hyderabad,117,29.9,42.1,33.1,12.2,0.72,17.0,27.3,55.7,9.5,0.0
2021-04-15,Pune,119,22.7,58.3,32.7,11.4,0.48,49.1,29.1,68.0,9.8,0.0
2021-04-15,Ahmedabad,168,41.5,72.6,36.4,13.1,1.17,35.4,35.5,35.4,10.3,0.0
2021-04-15,Visakhapatnam,98,10.4,26.2,26.0,8.4,1.84,26.7,41.9,51.0,11.3,0.0
2021-04-16,Delhi,253,74.8,122.4,27.9,10.9,2.09,34.5,32.3,35.2,12.4,0.0
2021-04-16,Mumbai,121,18.1,27.4,30.5,11.4,1.75,52.2,34.0,39.1,9.3,0.0
2021-04-16,Bangalore,148,33.0,61.7,35.8,8.1,1.59,11.3,33.7,40.6,7.3,0.0
2021-04-16,Chennai,49,10.6,-5.0,14.4,8.3,0.46,36.1,34.0,29.7,9.1,4.6
2021-04-16,Kolkata,109,21.2,48.8,20.7,8.1,0.7,60.6,33.3,55.1,3.8,1.3
2021-04-16,Jaipur,84,10.0,17.9,21.2,5.0,1.49,37.7,37.7,61.4,6.8,0.0
2021-04-16,Lucknow,148,44.8,95.3,11.4,7.5,0.9,10.0,35.0,44.7,6.3,2.3
2021-04-16,Hyderabad,151,29.2,58.8,42.2,10.5,1.68,19.4,30.5,43.8,3.9,0.0
2021-04-16,Pune,170,39.8,70.1,25.9,13.0,1.63,52.8,37.2,38.3,10.2,0.0
2021-04-16,Ahmedabad,97,20.5,27.0,5.0,13.7,1.75,23.5,35.8,58.5,3.4,0.0
2021-04-16,Visakhapatnam,147,22.4,55.1,26.3,11.0,1.99,67.8,39.4,60.6,6.8,0.9
2021-04-17,Delhi,113,33.6,49.1,17.3,2.6,0.91,18.1,31.5,57.3,10.3,0.0
2021-04-17,Mumbai,177,48.5,95.2,24.0,8.2,1.3,26.1,37.7,70.3,9.3,0.0
2021-04-17,Bangalore,117,18.7,52.9,25.5,11.5,1.67,12.0,38.9,38.2,12.0,0.0
2021-04-17,Chennai,164,33.9,62.7,27.7,11.4,2.11,39.7,36.4,46.7,9.1,0.0
2021-04-17,Kolkata,81,15.3,29.2,18.6,5.3,0.68,42.9,32.9,51.3,9.4,2.3
2021-04-17,Jaipur,159,30.7,56.5,41.3,11.2,1.81,34.1,31.5,53.1,9.4,0.0
2021-04-17,Lucknow,163,40.1,65.1,30.1,15.9,1.59,22.2,36.3,35.5,7.5,0.0
2021-04-17,Hyderabad,80,14.2,30.2,14.0,3.5,1.02,35.5,32.9,56.0,10.3,2.5
2021-04-17,Pune,127,26.4,33.1,18.0,12.6,1.87,45.1,35.6,51.5,12.8,0.0
2021-04-17,Ahmedabad,138,22.1,35.9,46.0,11.7,1.56,46.0,26.0,27.0,10.1,0.0
2021-04-17,Visakhapatnam,120,10.0,20.8,44.7,11.0,1.87,55.7,39.1,20.0,7.6,0.0
2021-04-18,Delhi,125,33.2,63.2,11.7,2.9,0.84,56.8,35.2,46.4,6.4,5.9
2021-04-18,Mumbai,121,23.2,61.0,28.2,8.2,0.79,46.7,39.3,38.3,8.2,0.0
2021-04-18,Bangalore,129,27.5,55.5,39.6,7.1,1.11,10.0,37.5,40.2,9.7,0.0
2021-04-18,Chennai,154,35.4,59.2,43.9,8.2,1.48,10.0,38.7,36.8,8.1,0.0
2021-04-18,Kolkata,212,60.5,105.1,18.4,10.3,1.71,51.0,31.4,48.7,8.3,0.0
2021-04-18,Jaipur,223,67.8,121.8,25.3,6.4,1.43,29.7,37.3,49.8,6.4,0.0
2021-04-18,Lucknow,313,93.0,163.9,47.5,7.3,1.64,59.2,34.0,27.9,8.3,0.0
2021-04-18,Hyderabad,165,38.3,65.8,16.3,11.1,2.23,40.6,37.7,42.3,7.7,0.0
2021-04-18,Pune,135,29.4,54.3,26.8,9.0,1.31,39.2,36.6,49.6,8.4,0.0
2021-04-18,Ahmedabad,210,55.4,113.1,20.5,14.7,1.71,41.4,37.8,51.4,5.1,0.0
2021-04-18,Visakhapatnam,90,14.1,42.9,14.2,4.2,0.83,58.0,39.0,52.1,10.2,1.9
2021-04-19,Delhi,214,56.1,94.5,39.4,10.6,1.53,53.5,34.8,34.2,9.0,0.0
2021-04-19,Mumbai,151,30.9,65.0,31.3,12.0,1.24,55.5,31.4,24.0,8.1,0.0
2021-04-19,Bangalore,122,30.5,57.7,16.9,11.3,1.13,18.6,38.4,50.2,3.7,0.0
2021-04-19,Chennai,144,28.7,49.4,21.4,17.0,2.07,32.8,35.9,46.1,5.0,0.0
2021-04-19,Kolkata,207,57.9,82.2,36.5,11.2,1.63,40.7,35.8,30.9,6.1,0.0
2021-04-19,Jaipur,172,44.8,90.1,17.5,15.5,1.28,43.5,31.5,40.0,10.6,0.0
2021-04-19,Lucknow,164,32.8,67.2,32.4,12.5,1.82,42.0,37.5,23.3,10.5,0.0
2021-04-19,Hyderabad,96,18.5,24.6,22.2,10.4,1.4,19.6,37.4,47.6,10.3,0.0
2021-04-19,Pune,125,26.2,45.7,33.1,5.6,1.13,38.0,36.2,29.7,7.5,0.0
2021-04-19,Ahmedabad,118,28.3,65.2,18.3,4.8,0.65,44.5,35.7,31.1,10.3,5.6
2021-04-19,Visakhapatnam,168,47.4,79.4,20.2,6.8,1.34,38.3,28.1,37.0,9.4,0.0
2021-04-20,Delhi,269,71.1,131.4,37.1,11.6,2.16,62.4,33.2,31.7,13.6,0.0
2021-04-20,Mumbai,183,47.0,83.2,22.5,16.0,1.73,35.5,39.0,53.0,6.5,0.0
2021-04-20,Bangalore,172,36.6,79.2,19.2,6.6,2.47,33.4,37.7,53.7,10.6,0.0
2021-04-20,Chennai,170,35.8,74.3,51.7,13.3,0.95,40.7,31.0,41.2,10.7,0.0
2021-04-20,Kolkata,187,52.4,100.4,38.5,9.3,0.78,24.3,28.1,53.7,11.3,0.0
2021-04-20,Jaipur,215,55.2,116.0,10.3,9.2,2.58,34.4,39.4,63.4,5.2,0.0
2021-04-20,Lucknow,272,75.2,135.3,38.8,5.1,2.11,53.0,35.4,27.4,5.1,0.0
2021-04-20,Hyderabad,128,22.6,42.2,19.5,11.7,1.74,56.4,37.7,55.4,5.5,0.0
2021-04-20,Pune,81,12.5,5.0,38.8,7.6,0.73,36.1,33.0,45.0,6.5,0.0
2021-04-20,Ahmedabad,181,46.1,83.8,26.3,9.7,1.55,43.7,33.0,31.8,6.6,0.0
2021-04-20,Visakhapatnam,133,19.5,51.3,33.8,5.9,2.02,25.6,36.6,46.2,9.5,0.0
2021-04-21,Delhi,202,50.9,108.9,39.0,7.9,1.34,32.4,34.0,20.0,6.9,0.0
2021-04-21,Mumbai,138,25.2,41.5,50.0,9.4,1.27,34.5,35.5,38.1,9.1,0.0
2021-04-21,Bangalore,101,22.5,36.3,11.8,11.2,1.25,32.6,34.6,33.6,5.3,0.0
2021-04-21,Chennai,119,23.3,38.3,23.3,13.7,1.83,10.0,30.9,62.8,4.0,0.0
2021-04-21,Kolkata,221,56.9,95.3,36.1,11.4,2.09,42.3,35.1,34.7,7.6,0.0
2021-04-21,Jaipur,86,15.1,16.1,17.8,6.3,1.08,54.8,33.8,46.3,10.9,1.5
2021-04-21,Lucknow,156,42.7,77.9,16.7,6.1,0.93,62.0,34.7,29.2,8.9,6.4
2021-04-21,Hyderabad,171,42.1,97.2,32.6,7.1,1.1,26.5,37.7,51.0,8.3,0.0
2021-04-21,Pune,82,11.9,14.6,25.6,9.4,1.15,29.2,32.6,32.0,7.4,0.0
2021-04-21,Ahmedabad,212,56.3,83.7,36.2,9.8,1.68,60.7,38.2,42.3,7.5,0.0
2021-04-21,Visakhapatnam,188,50.2,87.0,20.9,13.7,1.75,37.9,30.7,30.6,5.6,0.0
2021-04-22,Delhi,88,19.8,38.3,14.6,6.7,0.53,46.1,36.6,32.2,11.0,5.5
2021-04-22,Mumbai,175,34.7,65.3,41.8,12.1,1.71,56.3,36.5,53.1,11.4,0.0
2021-04-22,Bangalore,134,28.1,40.2,37.9,8.2,1.37,36.0,37.1,54.7,10.2,0.0
2021-04-22,Chennai,177,43.7,54.9,42.8,14.1,1.66,33.8,35.4,46.5,5.3,0.0
2021-04-22,Kolkata,299,90.1,174.0,31.9,12.8,1.95,22.6,34.2,48.4,7.1,0.0
2021-04-22,Jaipur,222,60.7,107.3,36.4,12.6,1.51,41.1,34.8,56.7,5.9,0.0
2021-04-22,Lucknow,173,37.7,55.0,32.1,8.0,2.13,57.6,35.6,40.4,7.0,0.0
2021-04-22,Hyderabad,56,10.0,13.9,10.9,7.8,0.81,18.4,37.8,46.2,5.4,3.2
2021-04-22,Pune,127,23.5,26.7,24.1,13.7,2.22,26.8,36.7,55.1,8.2,0.0
2021-04-22,Ahmedabad,72,12.2,29.0,17.9,3.3,1.0,13.6,33.9,46.5,7.2,2.9
2021-04-22,Visakhapatnam,118,14.6,13.8,33.6,11.6,2.14,47.7,36.8,21.4,6.3,0.0
2021-04-23,Delhi,145,34.2,60.2,19.9,9.7,1.52,44.0,38.1,57.5,10.3,0.0
2021-04-23,Mumbai,144,31.0,39.3,40.0,12.3,1.49,34.9,31.1,35.7,10.6,0.0
2021-04-23,Bangalore,118,21.8,42.1,30.4,12.6,1.35,22.8,32.4,45.7,8.9,0.0
2021-04-23,Chennai,75,15.2,43.2,6.3,4.4,0.42,52.9,40.2,51.6,8.5,4.7
2021-04-23,Kolkata,105,26.4,47.2,13.6,5.8,0.62,52.1,38.9,52.2,4.7,2.1
2021-04-23,Jaipur,131,36.4,67.8,11.7,2.1,1.11,33.4,34.1,58.3,10.3,5.9
2021-04-23,Lucknow,107,23.3,54.6,16.4,9.1,0.76,39.8,41.3,56.3,5.7,6.4
2021-04-23,Hyderabad,120,25.1,29.9,28.8,10.6,1.13,56.3,33.5,36.6,8.1,0.0
2021-04-23,Pune,130,30.2,43.8,12.5,12.5,1.81,37.7,33.7,48.9,4.7,0.0
2021-04-23,Ahmedabad,192,40.1,82.4,32.5,15.6,2.28,40.3,34.8,41.8,8.6,0.0
2021-04-23,Visakhapatnam,97,10.0,16.9,35.2,6.6,1.57,38.9,37.6,54.4,9.3,0.0
2021-04-24,Delhi,310,99.7,191.7,32.4,12.0,1.28,27.0,35.5,50.5,9.4,0.0
2021-04-24,Mumbai,135,34.6,55.2,27.1,9.4,1.15,22.5,39.9,29.0,6.5,0.0
2021-04-24,Bangalore,144,27.6,69.9,27.5,8.6,1.62,30.5,33.1,27.9,8.2,0.0
2021-04-24,Chennai,88,22.0,46.4,9.4,3.4,0.63,34.9,36.0,56.5,5.4,7.7
2021-04-24,Kolkata,178,33.1,76.1,31.0,9.1,2.09,64.9,32.8,38.4,8.2,0.0
2021-04-24,Jaipur,115,21.4,34.4,27.8,7.7,1.61,24.7,33.4,47.4,7.9,0.0
2021-04-24,Lucknow,170,48.4,92.7,24.0,11.6,0.77,35.5,36.2,26.1,6.7,0.0
2021-04-24,Hyderabad,116,10.3,18.1,53.3,11.9,1.47,45.4,31.1,44.0,9.4,0.0
2021-04-24,Pune,169,41.3,80.3,31.3,9.0,1.14,50.4,37.1,42.4,8.6,0.0
2021-04-24,Ahmedabad,165,33.5,64.2,32.8,7.7,1.96,45.0,31.2,48.5,11.5,0.0
2021-04-24,Visakhapatnam,103,14.5,35.0,16.7,12.8,1.55,45.7,33.0,58.0,10.1,0.0
2021-04-25,Delhi,292,91.9,151.3,19.2,10.3,2.57,23.9,34.5,42.2,6.4,0.0
2021-04-25,Mumbai,155,32.8,69.3,39.8,7.9,0.9,58.5,30.3,35.4,10.5,0.0
2021-04-25,Bangalore,99,21.8,44.3,12.9,7.9,1.27,15.4,39.1,40.9,8.8,0.0
2021-04-25,Chennai,70,10.8,30.5,14.3,5.0,0.73,36.4,37.6,30.3,6.8,1.1
2021-04-25,Kolkata,195,49.0,86.1,39.6,11.0,1.64,29.1,33.5,31.8,8.7,0.0
2021-04-25,Jaipur,167,46.9,91.7,20.9,6.2,0.88,46.9,36.1,44.3,10.1,0.0
2021-04-25,Lucknow,108,31.1,48.2,18.2,7.5,0.3,43.3,36.1,48.5,7.6,7.9
2021-04-25,Hyderabad,136,27.1,57.6,18.0,10.0,1.87,34.6,31.2,44.4,10.7,0.0
2021-04-25,Pune,80,12.4,31.6,16.7,9.0,0.39,66.5,33.2,60.7,9.5,0.0
2021-04-25,Ahmedabad,126,29.4,46.7,35.5,5.4,0.83,38.4,37.8,41.5,9.4,0.0
2021-04-25,Visakhapatnam,138,29.9,42.4,30.0,11.7,1.58,36.0,36.2,49.7,9.1,0.0
2021-04-26,Delhi,217,64.7,119.6,29.7,6.9,1.3,25.9,40.9,48.9,3.6,0.0
2021-04-26,Mumbai,125,15.7,27.9,28.8,15.8,2.39,32.4,32.2,44.4,9.8,0.0
2021-04-26,Bangalore,156,21.1,48.5,49.5,5.4,2.11,53.4,32.3,43.1,8.9,0.0
2021-04-26,Chennai,120,24.4,39.8,29.3,13.4,1.3,25.8,34.7,41.3,8.2,0.0
2021-04-26,Kolkata,151,47.8,86.7,9.2,9.8,0.58,42.5,32.7,53.6,8.5,0.0
2021-04-26,Jaipur,86,23.7,44.6,12.9,2.5,0.3,38.4,35.0,66.1,7.0,6.7
2021-04-26,Lucknow,365,117.6,227.2,31.7,13.4,1.51,43.5,33.1,48.3,8.5,0.0
2021-04-26,Hyderabad,87,15.8,25.0,20.5,4.0,0.61,67.4,38.3,53.5,6.0,5.2
2021-04-26,Pune,122,15.6,23.3,39.2,11.5,1.92,38.0,34.6,58.7,9.7,0.0
2021-04-26,Ahmedabad,168,39.3,72.3,40.9,10.2,1.42,23.6,37.1,40.7,6.8,0.4
2021-04-26,Visakhapatnam,87,19.8,29.5,23.3,4.4,0.79,20.9,36.1,43.1,6.8,4.1
2021-04-27,Delhi,208,64.4,122.9,28.6,4.0,1.08,14.4,32.7,42.6,4.6,0.0
2021-04-27,Mumbai,189,49.5,96.1,29.3,2.0,1.5,43.5,30.8,65.5,4.1,0.0
2021-04-27,Bangalore,160,34.6,67.3,40.5,7.7,1.32,41.4,32.7,36.8,8.5,0.0
2021-04-27,Chennai,120,21.8,27.4,24.9,7.7,1.99,34.7,30.7,41.4,6.2,0.0
2021-04-27,Kolkata,105,10.0,11.5,28.2,11.0,2.21,43.1,35.6,75.3,8.6,0.0
2021-04-27,Jaipur,107,12.1,29.1,35.0,15.7,1.42,34.3,37.9,47.8,6.9,0.0
2021-04-27,Lucknow,195,52.0,81.0,31.9,9.8,1.58,51.6,36.4,38.8,10.8,0.0
2021-04-27,Hyderabad,137,17.2,30.2,40.2,7.0,2.32,48.7,36.1,47.4,9.9,0.0
2021-04-27,Pune,201,42.1,74.7,41.3,12.8,2.19,60.0,31.6,44.5,8.5,0.0
2021-04-27,Ahmedabad,182,35.3,86.8,39.3,4.7,1.8,54.8,39.7,44.3,7.5,0.0
2021-04-27,Visakhapatnam,145,32.1,46.3,25.8,7.4,1.77,49.0,34.2,31.1,10.8,0.0
2021-04-28,Delhi,84,19.5,22.4,12.0,4.9,1.05,35.3,33.5,44.9,8.1,2.6
2021-04-28,Mumbai,187,52.8,102.3,17.1,11.7,1.47,28.6,39.0,47.4,7.3,0.0
2021-04-28,Bangalore,148,37.4,71.4,24.8,8.0,1.14,34.1,31.6,60.4,8.7,0.0
2021-04-28,Chennai,90,21.1,37.8,5.0,9.6,1.04,33.6,35.0,60.6,9.5,0.0
2021-04-28,Kolkata,141,39.7,85.0,20.7,9.1,0.68,14.9,32.2,41.4,8.8,0.0
2021-04-28,Jaipur,90,10.0,0.7,25.4,10.4,1.84,42.1,34.9,42.0,9.0,0.0
2021-04-28,Lucknow,253,74.5,129.4,24.4,9.9,1.46,77.7,31.6,37.1,8.0,0.0
2021-04-28,Hyderabad,136,21.5,39.6,17.7,6.4,2.8,35.8,39.3,46.2,4.8,0.0
2021-04-28,Pune,159,32.5,61.2,22.8,9.2,2.4,31.3,42.3,48.4,4.9,0.0
2021-04-28,Ahmedabad,150,34.3,62.2,36.7,6.7,1.16,39.3,35.1,43.9,10.4,0.0
2021-04-28,Visakhapatnam,101,12.2,26.7,41.7,10.3,1.42,10.0,36.2,41.2,9.2,0.0
2021-04-29,Delhi,135,25.8,38.7,36.4,11.7,1.61,34.6,37.7,60.1,6.7,0.0
2021-04-29,Mumbai,92,21.2,50.2,9.1,2.0,0.76,40.4,34.9,39.0,5.6,2.1
2021-04-29,Bangalore,77,10.0,10.1,22.8,5.5,0.96,57.2,38.2,46.7,6.5,2.3
2021-04-29,Chennai,99,10.8,29.6,27.2,9.7,1.44,45.0,34.5,52.7,8.2,0.0
2021-04-29,Kolkata,173,40.2,77.3,19.3,10.4,2.12,37.2,33.9,50.3,8.7,0.0
2021-04-29,Jaipur,99,26.1,44.2,20.6,6.5,0.59,22.8,31.6,51.1,4.7,1.7
2021-04-29,Lucknow,113,10.0,22.6,53.4,13.6,1.49,25.1,34.8,57.0,9.0,0.0
2021-04-29,Hyderabad,68,10.0,19.2,19.3,6.6,0.66,40.7,36.8,51.2,9.1,2.4
2021-04-29,Pune,109,18.3,27.2,33.0,8.6,1.56,22.0,38.6,40.0,4.3,0.0
2021-04-29,Ahmedabad,80,23.1,25.4,15.3,4.2,0.48,32.0,36.3,28.4,6.1,2.7
2021-04-29,Visakhapatnam,150,30.5,56.1,32.4,10.7,1.64,41.0,31.6,32.7,9.0,0.0
2021-04-30,Delhi,106,19.6,50.6,24.6,4.7,0.74,50.1,37.1,50.5,8.4,2.0
2021-04-30,Mumbai,153,36.4,69.4,30.0,13.7,1.29,24.3,33.5,40.9,5.2,0.0
2021-04-30,Bangalore,152,30.7,74.5,31.9,6.0,1.85,12.7,38.1,36.3,9.4,0.0
2021-04-30,Chennai,58,10.0,7.9,21.0,2.8,0.38,44.9,33.4,46.5,5.9,4.8
2021-04-30,Kolkata,95,22.9,41.0,17.5,5.2,0.58,41.9,35.9,49.4,7.2,2.8
2021-04-30,Jaipur,95,16.2,21.3,11.9,9.1,1.58,50.0,37.4,38.2,6.3,0.0
2021-04-30,Lucknow,97,27.4,41.5,7.4,8.6,0.91,25.6,33.7,61.5,7.8,1.3
2021-04-30,Hyderabad,133,24.9,45.2,20.3,10.6,1.93,44.3,36.3,45.6,7.4,0.0
2021-04-30,Pune,155,33.5,60.8,28.6,8.5,1.92,31.9,35.0,47.2,5.3,0.0
2021-04-30,Ahmedabad,213,55.8,97.1,36.8,15.3,1.76,30.7,39.0,51.9,9.8,0.0
2021-04-30,Visakhapatnam,146,36.9,65.8,10.6,5.5,1.27,73.1,35.4,28.0,8.2,0.0
2021-05-01,Delhi,293,91.9,164.2,54.4,8.1,0.89,26.1,35.0,35.4,7.5,0.0
2021-05-01,Mumbai,134,23.1,33.0,56.5,6.2,0.88,57.8,32.2,48.9,5.1,0.0
2021-05-01,Bangalore,97,16.1,34.9,44.9,4.3,0.3,37.7,33.5,72.6,5.4,0.0
2021-05-01,Chennai,167,29.1,50.2,55.8,6.9,1.98,37.6,36.3,54.4,9.2,0.0
2021-05-01,Kolkata,186,36.7,70.2,40.1,12.2,2.09,53.9,34.7,55.1,8.9,0.0
2021-05-01,Jaipur,134,24.4,37.7,17.6,8.9,2.37,42.7,39.6,41.0,7.9,0.0
2021-05-01,Lucknow,269,82.9,141.5,30.1,8.0,1.85,30.6,34.5,21.4,8.7,0.0
2021-05-01,Hyderabad,131,26.1,44.4,33.7,11.0,1.22,44.0,35.4,46.0,8.9,0.0
2021-05-01,Pune,139,26.4,39.5,46.4,9.9,1.23,43.6,35.4,40.4,4.9,0.0
2021-05-01,Ahmedabad,95,20.5,47.0,11.6,8.0,1.25,11.4,36.8,53.6,6.5,0.0
2021-05-01,Visakhapatnam,136,28.2,34.9,30.8,12.0,1.67,41.8,37.2,46.5,8.9,0.0
2021-05-02,Delhi,218,61.8,98.9,32.2,6.9,1.7,44.3,31.4,37.4,2.9,0.0
2021-05-02,Mumbai,153,35.6,70.9,22.1,11.6,1.91,10.0,31.3,58.4,9.0,0.0
2021-05-02,Bangalore,83,10.0,20.4,44.9,11.9,0.3,33.4,34.4,49.0,8.7,0.0
2021-05-02,Chennai,145,32.9,48.7,21.8,13.7,1.99,24.4,32.4,54.4,5.0,0.0
2021-05-02,Kolkata,212,59.0,106.4,27.0,13.7,1.3,55.1,36.2,46.1,10.3,0.0
2021-05-02,Jaipur,254,72.9,121.6,37.0,10.2,1.98,33.0,27.3,44.8,7.2,0.0
2021-05-02,Lucknow,284,88.6,177.0,35.9,10.0,0.61,55.4,36.3,35.8,9.6,0.0
2021-05-02,Hyderabad,111,21.9,36.0,32.3,6.1,1.28,22.2,35.2,42.9,10.3,0.0
2021-05-02,Pune,122,20.6,39.2,19.9,4.7,2.46,15.7,35.9,41.9,4.2,0.0
2021-05-02,Ahmedabad,187,39.7,72.1,26.2,10.3,2.38,60.8,34.2,31.8,8.5,0.0
2021-05-02,Visakhapatnam,139,29.5,62.8,23.2,6.7,0.9,79.1,41.1,61.0,5.4,0.0
2021-05-03,Delhi,145,38.0,67.4,26.5,8.2,0.66,53.7,34.4,48.2,6.7,0.0
2021-05-03,Mumbai,131,28.7,41.4,27.5,9.8,1.38,44.2,36.8,27.3,7.1,0.0
2021-05-03,Bangalore,133,28.2,59.6,12.9,9.3,1.77,35.7,31.6,51.3,7.2,0.0
2021-05-03,Chennai,76,10.0,4.2,23.2,14.1,1.24,31.5,36.0,37.3,10.1,0.0
2021-05-03,Kolkata,192,41.1,71.3,55.5,9.9,1.7,39.7,33.3,46.4,9.7,0.0
2021-05-03,Jaipur,267,77.1,140.1,35.8,13.8,1.73,39.7,30.8,54.1,6.8,0.0
2021-05-03,Lucknow,136,21.1,50.1,25.6,9.8,2.13,38.0,36.7,43.3,6.3,0.0
2021-05-03,Hyderabad,159,33.9,72.0,27.6,7.1,1.5,54.9,31.5,26.1,4.5,0.0
2021-05-03,Pune,53,10.6,4.0,6.7,8.8,0.88,29.1,35.0,31.3,7.0,6.5
2021-05-03,Ahmedabad,67,14.7,35.7,13.6,4.6,0.36,23.4,36.3,45.2,7.9,6.9
2021-05-03,Visakhapatnam,90,10.0,28.9,29.4,12.9,1.06,34.1,35.1,50.7,4.5,0.0
2021-05-04,Delhi,221,56.5,107.0,35.4,7.6,1.94,42.3,34.8,42.8,10.3,0.0
2021-05-04,Mumbai,85,16.6,41.4,13.5,2.6,0.67,48.5,39.4,52.9,5.6,3.1
2021-05-04,Bangalore,149,40.0,55.1,22.4,7.4,1.6,29.0,30.8,23.4,8.4,0.0
2021-05-04,Chennai,148,25.5,51.0,36.1,11.1,1.51,67.5,35.8,32.1,10.5,0.0
2021-05-04,Kolkata,176,51.7,92.9,28.8,3.2,1.0,25.6,31.5,52.8,8.4,0.0
2021-05-04,Jaipur,199,54.7,96.9,16.3,10.2,1.79,49.3,39.3,34.3,8.2,0.0
2021-05-04,Lucknow,129,38.8,64.0,19.6,4.9,0.82,17.4,32.1,45.6,5.3,5.0
2021-05-04,Hyderabad,149,34.2,58.4,13.2,8.9,2.25,30.4,38.2,33.5,12.1,0.0
2021-05-04,Pune,164,38.3,59.9,33.5,9.3,1.69,39.7,38.3,53.5,5.0,0.0
2021-05-04,Ahmedabad,126,23.3,55.5,19.6,12.1,1.2,60.8,36.2,41.4,6.8,0.0
2021-05-04,Visakhapatnam,150,31.4,64.5,47.2,8.3,0.89,37.4,36.5,21.1,8.3,0.0
2021-05-05,Delhi,181,47.5,91.0,19.7,5.7,1.75,38.2,38.0,46.7,6.6,0.0
2021-05-05,Mumbai,213,40.5,86.2,61.5,5.1,2.28,40.7,36.0,38.7,6.8,0.0
2021-05-05,Bangalore,136,19.9,20.3,45.2,11.0,2.17,38.4,38.8,46.6,5.4,0.0
2021-05-05,Chennai,155,37.5,57.8,30.6,8.9,1.43,42.4,37.5,41.8,10.2,0.0
2021-05-05,Kolkata,133,25.1,38.2,9.1,10.9,2.2,66.9,34.4,33.0,8.3,0.0
2021-05-05,Jaipur,139,27.1,50.0,39.3,6.1,1.19,50.7,36.1,37.6,5.0,0.0
2021-05-05,Lucknow,110,35.4,64.5,5.0,6.4,0.42,32.9,36.4,37.9,8.9,8.0
2021-05-05,Hyderabad,110,19.2,38.0,22.9,4.1,1.31,53.8,35.2,48.6,7.3,0.0
2021-05-05,Pune,127,14.6,34.1,49.4,9.2,1.53,47.6,33.4,58.7,9.6,0.0
